Designator,Mid X,Mid Y,Rotation,Layer
C10,94.5,-74.77,90.0,top
C11,90.4,-75.05,90.0,top
C12,81.6,-88.45,270.0,top
C13,85.3,-85.38,270.0,top
C14,97.85,-94.05,0.0,bottom
C15,96.0,-74.05,270.0,top
C16,84.38,-69.26,0.0,top
C17,84.02,-78.25,180.0,top
C18,84.0,-79.25,180.0,top
C19,86.5,-67.75,180.0,top
C20,88.5,-67.75,0.0,top
C21,95.5,-76.25,0.0,top
C22,95.5,-77.25,0.0,top
C7,89.42,-74.02,90.0,top
C8,90.6,-86.45,270.0,bottom
C9,93.5,-75.0,90.0,top
D1,99.35,-80.45,270.0,top
D2,97.1,-65.05,180.0,top
D3,97.45,-103.7,180.0,top
D4,82.025,-82.275,0.0,top
J1,90.3,-114.15,270.0,top
J2,96.0,-81.5,270.0,top
J3,92.525,-94.545,90.0,top
P2,89.979,-64.6,0.0,top
R15,81.74,-76.63,90.0,top
R16,88.29,-97.74,180.0,bottom
R17,88.29,-96.74,180.0,bottom
R18,88.29,-95.55,180.0,bottom
R19,88.29,-93.35,180.0,bottom
R20,88.3,-91.24,180.0,bottom
R21,88.29,-90.05,180.0,bottom
R22,92.5,-74.69,90.0,top
R4,87.95,-67.1,0.0,bottom
R5,90.729,-67.75,180.0,top
R6,95.9,-95.4125,90.0,bottom
R7,91.5,-74.7,90.0,top
R8,84.74,-77.25,0.0,top
R9,87.1,-86.0,180.0,top
SW3,82.75,-65.75,0.0,bottom
SW4,92.5,-70.75,180.0,bottom
U1,85.0,-71.155,90.0,bottom
U2,96.7625,-91.35,270.0,bottom
U3,83.5,-100.0,270.0,top
U4,90.0,-80.75,90.0,top
U5,92.55,-70.3,0.0,top
Y1,82.7,-85.75,180.0,top
